DEST_COUNTRY_NAME,ORIGIN_COUNTRY_NAME,count
United States,Austria,34
United States,Panama,363
United States,Fiji,51
Angola,United States,14
Australia,United States,290
Senegal,United States,29
United States,Slovakia,1
New Zealand,United States,86
Saint Vincent and the Grenadines,United States,1
Venezuela,United States,377
Grenada,United States,65
United States,Egypt,25
Afghanistan,United States,11
Mexico,United States,6200
United States,Costa Rica,501
United States,Algeria,1
Guatemala,United States,386
United States,Luxembourg,90
Sweden,United States,65
Thailand,United States,16
Cyprus,United States,2
United States,Indonesia,1
United States,Cyprus,1
United States,Saudi Arabia,54
South Korea,United States,683
United States,Uruguay,24
United States,Antigua and Barbuda,121
United States,Grenada,54
United States,Australia,216
Guadeloupe,United States,40
Spain,United States,422
Jordan,United States,50
Greenland,United States,2
Morocco,United States,16
United States,Burkina Faso,1
Germany,United States,1392
Dominica,United States,28
United States,Vietnam,1
United States,Turkey,87
United States,Cayman Islands,251
Philippines,United States,132
Canada,United States,8271
Chile,United States,166
United States,Iceland,129
United States,Kyrgyzstan,12
United States,Spain,442
South Africa,United States,25
Netherlands Antilles,United States,286
United States,Germany,1406
Russia,United States,152
United States,Chile,176
United States,Azerbaijan,1
Ethiopia,United States,12
United States,Bermuda,180
United States,Belize,118
United States,Saint Vincent and the Grenadines,16
United States,Papua New Guinea,1
Kyrgyzstan,United States,2
Kazakhstan,United States,3
Costa Rica,United States,477
Japan,United States,1383
United States,Nicaragua,181
United States,Colombia,832
United States,Venezuela,341
Iceland,United States,118
United States,Cameroon,1
United States,Bahrain,1
United States,Serbia,1
Martinique,United States,23
United States,Greece,61
Haiti,United States,238
El Salvador,United States,519
Saint Barthelemy,United States,28
United States,Peru,284
United States,Martinique,20
Bulgaria,United States,1
Bermuda,United States,183
United States,Thailand,13
France,United States,774
United States,Nigeria,18
United States,Jordan,51
French Polynesia,United States,38
United States,Denmark,107
United States,United Kingdom,1503
United States,Pakistan,15
United States,Suriname,13
Cook Islands,United States,13
United States,Ethiopia,12
United States,United Arab Emirates,156
United States,Greenland,2
Colombia,United States,785
United States,Netherlands,570
Saudi Arabia,United States,42
United States,Ukraine,17
French Guiana,United States,4
United States,British Virgin Islands,47
United States,Finland,20
United States,Russia,156
United States,Liberia,1
Antigua and Barbuda,United States,123
United States,Anguilla,20
United States,Belgium,355
Suriname,United States,12
China,United States,448
Turks and Caicos Islands,United States,136
Saint Lucia,United States,116
United States,French Guiana,1
Netherlands,United States,586
United States,Malta,2
United States,Mexico,6220
United States,Sweden,73
Uruguay,United States,54
Nicaragua,United States,178
United States,New Zealand,71
Malta,United States,1
Saint Kitts and Nevis,United States,113
Samoa,United States,28
Peru,United States,212
United States,Netherlands Antilles,289
United States,Honduras,393
Kuwait,United States,26
Nigeria,United States,16
United States,United States,348113
Federated States of Micronesia,United States,46
United States,Poland,61
Cayman Islands,United States,247
Argentina,United States,184
